Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
FBXW9,0.04,15.98,5.17E-02,4.12E-01,0.01,12.78,3.73E-01,9.10E-01,3.20,0.03,5.17E-02,2.68E-01,1,0,1,0,0
SSR1,0.01,-1.04,4.06E-01,7.78E-01,0.04,-3.67,4.73E-02,6.21E-01,2.63,0.03,4.73E-02,2.61E-01,0,1,1,0,0
PIGW,0.04,1.50,4.51E-02,3.95E-01,0.01,-6.36,4.27E-01,9.26E-01,7.86,0.03,4.51E-02,2.56E-01,1,0,1,0,0
PIWIL3,0.04,15.20,4.32E-02,3.91E-01,0.01,11.06,4.45E-01,9.31E-01,4.14,0.03,4.32E-02,2.53E-01,1,0,1,0,0
FAM188A,0.05,2.81,2.35E-02,3.23E-01,0.00,1.18,8.19E-01,9.87E-01,1.63,0.03,2.35E-02,2.00E-01,1,0,1,0,0
C16orf81,0.05,14.71,3.34E-02,3.60E-01,0.01,13.31,5.76E-01,9.58E-01,1.40,0.03,3.35E-02,2.29E-01,1,0,1,0,0
NFKBIL1,0.04,13.87,4.95E-02,4.07E-01,0.01,10.34,3.90E-01,9.15E-01,3.53,0.03,4.95E-02,2.64E-01,1,0,1,0,0
HOXA7,0.04,12.43,5.58E-02,4.22E-01,0.01,11.91,3.46E-01,9.04E-01,0.52,0.03,5.58E-02,2.75E-01,1,0,1,0,0
YLPM1,0.03,9.73,1.60E-01,5.84E-01,0.03,12.76,1.21E-01,7.59E-01,3.03,0.03,9.56E-02,3.36E-01,1,1,2,1,0
LOC400968,0.03,13.64,1.43E-01,5.60E-01,0.03,6.53,1.36E-01,7.79E-01,7.11,0.03,9.58E-02,3.36E-01,1,1,2,0,0
C21orf34,0.03,2.70,1.38E-01,5.56E-01,0.03,-4.20,1.40E-01,7.84E-01,6.89,0.03,9.59E-02,3.36E-01,1,1,2,0,0
KCNC1,0.03,5.65,1.25E-01,5.39E-01,0.03,10.60,1.55E-01,8.00E-01,4.95,0.03,9.59E-02,3.36E-01,1,1,2,0,0
ASB18,0.02,12.47,2.09E-01,6.33E-01,0.03,8.88,9.25E-02,7.23E-01,3.59,0.03,9.26E-02,3.33E-01,0,1,1,0,0
FCHO1,0.03,4.55,1.28E-01,5.42E-01,0.03,2.09,1.51E-01,7.97E-01,2.45,0.03,9.59E-02,3.36E-01,1,1,2,0,0
GJD2,0.03,12.47,8.72E-02,4.83E-01,0.02,6.04,2.22E-01,8.45E-01,6.43,0.03,8.72E-02,3.25E-01,1,0,1,0,0
C3orf78,0.02,1.84,2.82E-01,6.91E-01,0.04,-0.97,6.87E-02,6.82E-01,2.81,0.03,6.87E-02,2.97E-01,0,1,1,0,0
HMGCL,0.04,-5.42,6.34E-02,4.36E-01,0.02,11.31,3.05E-01,8.87E-01,7.26,0.03,6.34E-02,2.89E-01,1,0,1,0,0
LOC100129581,0.02,11.81,3.24E-01,7.27E-01,0.04,9.88,5.98E-02,6.59E-01,1.93,0.03,5.98E-02,2.82E-01,0,1,1,0,0
OR1J2,0.04,-6.31,5.30E-02,4.15E-01,0.01,2.63,3.65E-01,9.10E-01,8.94,0.03,5.30E-02,2.71E-01,1,0,1,0,0
GNB1L,0.04,13.45,5.13E-02,4.11E-01,0.01,13.31,3.78E-01,9.13E-01,0.14,0.03,5.13E-02,2.68E-01,1,0,1,0,0
MOBKL1A,0.01,-0.96,6.02E-01,8.68E-01,0.05,-4.91,3.22E-02,5.73E-01,3.95,0.03,3.22E-02,2.26E-01,0,1,1,1,0
GPATCH8,0.05,5.29,2.47E-02,3.30E-01,0.00,11.22,7.85E-01,9.84E-01,5.93,0.03,2.47E-02,2.05E-01,1,0,1,1,0
HOOK2,0.02,5.30,2.22E-01,6.45E-01,0.03,11.47,8.76E-02,7.16E-01,6.17,0.03,8.77E-02,3.26E-01,0,1,1,0,0
VSIG4,0.02,-3.63,2.56E-01,6.74E-01,0.04,-1.87,7.59E-02,6.96E-01,1.76,0.03,7.59E-02,3.08E-01,0,1,1,0,0
FGF3,0.04,12.78,3.95E-02,3.78E-01,0.01,8.08,4.92E-01,9.41E-01,4.70,0.03,3.95E-02,2.45E-01,1,0,1,0,0
DCN,0.02,-0.17,2.16E-01,6.39E-01,0.03,-3.04,9.02E-02,7.19E-01,2.86,0.03,9.02E-02,3.29E-01,0,1,1,0,0
CCDC157,0.04,13.57,3.79E-02,3.72E-01,0.01,9.72,5.13E-01,9.46E-01,3.85,0.03,3.79E-02,2.41E-01,1,0,1,0,0
SNX13,0.05,2.60,3.57E-02,3.66E-01,0.01,-0.25,5.45E-01,9.52E-01,2.85,0.03,3.57E-02,2.36E-01,1,0,1,0,0
GHRH,0.01,-3.62,4.28E-01,7.88E-01,0.04,10.17,4.55E-02,6.18E-01,10.22,0.03,4.55E-02,2.57E-01,0,1,1,0,0
LETM2,0.04,3.43,5.79E-02,4.27E-01,0.02,-6.37,3.37E-01,9.02E-01,9.80,0.03,5.79E-02,2.79E-01,1,0,1,0,0
ZNF749,0.04,10.23,5.14E-02,4.11E-01,0.01,12.38,3.80E-01,9.14E-01,2.15,0.03,5.14E-02,2.68E-01,1,0,1,0,0
OR52I2,0.05,14.41,2.86E-02,3.45E-01,0.01,3.42,6.82E-01,9.74E-01,10.98,0.03,2.86E-02,2.16E-01,1,0,1,0,0
KRT72,0.05,12.74,2.21E-02,3.15E-01,0.00,15.59,8.83E-01,9.94E-01,2.85,0.03,2.21E-02,1.94E-01,1,0,1,0,0
OR5L1,0.05,15.50,2.13E-02,3.10E-01,0.00,5.96,9.15E-01,9.95E-01,9.54,0.03,2.13E-02,1.92E-01,1,0,1,0,0
IGKV4-1,0.03,13.48,1.34E-01,5.48E-01,0.03,9.85,1.46E-01,7.90E-01,3.63,0.03,9.66E-02,3.37E-01,1,1,2,0,0
PRR4,0.03,7.05,1.56E-01,5.79E-01,0.03,7.83,1.26E-01,7.64E-01,0.78,0.03,9.66E-02,3.37E-01,1,1,2,0,0
NR3C1,0.02,9.40,1.73E-01,5.98E-01,0.03,11.13,1.13E-01,7.51E-01,1.73,0.03,9.67E-02,3.37E-01,1,1,2,0,0
C16orf13,0.03,7.18,1.54E-01,5.77E-01,0.03,7.21,1.27E-01,7.66E-01,0.03,0.03,9.67E-02,3.37E-01,1,1,2,0,0
OAS1,0.03,-3.53,1.53E-01,5.76E-01,0.03,-2.20,1.28E-01,7.67E-01,1.33,0.03,9.67E-02,3.37E-01,1,1,2,0,0
PDILT,0.02,15.35,1.82E-01,6.06E-01,0.03,8.04,1.08E-01,7.42E-01,7.30,0.03,9.67E-02,3.37E-01,1,1,2,0,0
LMX1B,0.03,13.03,1.00E-01,5.05E-01,0.02,10.86,1.95E-01,8.30E-01,2.17,0.03,9.66E-02,3.37E-01,1,1,2,0,0
UBAP2,0.03,9.10,1.50E-01,5.71E-01,0.03,8.74,1.31E-01,7.74E-01,0.36,0.03,9.68E-02,3.37E-01,1,1,2,0,0
DYNC1I2,0.04,5.73,7.58E-02,4.60E-01,0.02,-1.82,2.58E-01,8.64E-01,7.55,0.03,7.58E-02,3.08E-01,1,0,1,0,0
MIR202,0.04,14.90,6.60E-02,4.41E-01,0.02,0.43,2.96E-01,8.84E-01,9.53,0.03,6.60E-02,2.93E-01,1,0,1,0,0
ST3GAL5,0.04,4.24,6.68E-02,4.43E-01,0.02,4.56,2.93E-01,8.83E-01,0.32,0.03,6.67E-02,2.94E-01,1,0,1,0,0
SERPINA11,0.04,16.04,7.07E-02,4.50E-01,0.02,-3.01,2.77E-01,8.74E-01,4.95,0.03,7.06E-02,3.00E-01,1,0,1,0,0
SLX4,0.04,4.54,6.94E-02,4.50E-01,0.02,7.92,2.83E-01,8.78E-01,3.38,0.03,6.94E-02,2.98E-01,1,0,1,0,0
UNK,0.04,7.11,4.53E-02,3.96E-01,0.01,11.30,4.33E-01,9.28E-01,4.19,0.03,4.53E-02,2.56E-01,1,0,1,0,0
ISX,0.04,12.26,4.49E-02,3.95E-01,0.01,9.54,4.37E-01,9.29E-01,2.72,0.03,4.49E-02,2.56E-01,1,0,1,0,0
TRIM11,0.05,14.54,3.59E-02,3.67E-01,0.01,15.73,5.47E-01,9.52E-01,1.18,0.03,3.60E-02,2.37E-01,1,0,1,0,0
DCAF4L2,0.05,16.86,3.35E-02,3.60E-01,0.01,9.48,5.86E-01,9.60E-01,7.38,0.03,3.35E-02,2.30E-01,1,0,1,0,0
GPR115,0.05,15.71,2.24E-02,3.17E-01,0.00,17.34,8.73E-01,9.92E-01,1.63,0.03,2.24E-02,1.95E-01,1,0,1,0,0
TMEM184B,0.00,14.63,8.92E-01,9.68E-01,0.05,13.94,2.20E-02,5.10E-01,0.69,0.03,2.20E-02,1.94E-01,0,1,1,0,0
MAGEA3,0.05,13.62,2.19E-02,3.14E-01,0.00,-2.36,8.95E-01,9.95E-01,8.01,0.03,2.19E-02,1.94E-01,1,0,1,0,0
SMCR8,0.00,14.78,9.18E-01,9.75E-01,0.05,9.55,2.14E-02,5.10E-01,5.24,0.03,2.14E-02,1.92E-01,0,1,1,0,0
C15orf38,0.05,15.41,2.07E-02,3.08E-01,0.00,10.86,9.51E-01,9.98E-01,4.55,0.03,2.07E-02,1.90E-01,1,0,1,0,0
C9orf144B,0.04,15.38,6.28E-02,4.35E-01,0.02,1.25,3.13E-01,8.90E-01,9.88,0.03,6.28E-02,2.88E-01,1,0,1,0,0
GPR27,0.01,11.94,4.38E-01,7.92E-01,0.04,11.97,4.49E-02,6.18E-01,0.03,0.03,4.49E-02,2.56E-01,0,1,1,0,0
LOC57399,0.05,15.80,3.19E-02,3.55E-01,0.01,-0.49,6.17E-01,9.64E-01,7.71,0.03,3.19E-02,2.25E-01,1,0,1,0,0
PLA2G2F,0.03,13.69,1.27E-01,5.41E-01,0.03,7.82,1.55E-01,8.01E-01,5.87,0.03,9.72E-02,3.37E-01,1,1,2,0,0
ANGEL2,0.03,1.96,1.30E-01,5.45E-01,0.03,-0.36,1.52E-01,7.97E-01,2.33,0.03,9.72E-02,3.37E-01,1,1,2,0,0
LYNX1,0.02,5.17,1.83E-01,6.07E-01,0.03,10.45,1.08E-01,7.43E-01,5.29,0.03,9.72E-02,3.37E-01,1,1,2,0,0
FAM83E,0.03,12.18,9.63E-02,4.99E-01,0.02,9.40,2.05E-01,8.32E-01,2.78,0.03,9.64E-02,3.36E-01,1,0,1,0,0
SPIB,0.03,15.57,1.03E-01,5.09E-01,0.02,7.32,1.92E-01,8.29E-01,8.24,0.03,9.72E-02,3.37E-01,1,1,2,0,0
APOBEC3D,0.03,15.19,8.95E-02,4.87E-01,0.02,2.72,2.20E-01,8.45E-01,11.53,0.03,8.95E-02,3.28E-01,1,0,1,0,0
MUSTN1,0.04,8.96,7.63E-02,4.62E-01,0.02,7.93,2.58E-01,8.64E-01,1.04,0.03,7.63E-02,3.09E-01,1,0,1,0,0
FAM76B,0.04,2.30,7.80E-02,4.66E-01,0.02,0.69,2.53E-01,8.63E-01,1.61,0.03,7.80E-02,3.11E-01,1,0,1,0,0
WWP2,0.04,5.39,5.94E-02,4.28E-01,0.02,9.59,3.33E-01,9.00E-01,4.20,0.03,5.94E-02,2.81E-01,1,0,1,1,0
SEMG1,0.04,-5.90,4.06E-02,3.81E-01,0.01,9.00,4.87E-01,9.40E-01,9.10,0.03,4.06E-02,2.48E-01,1,0,1,0,0
SERPINB6,0.03,-3.12,1.43E-01,5.61E-01,0.03,-4.50,1.39E-01,7.83E-01,1.39,0.03,9.77E-02,3.38E-01,1,1,2,1,0
C1orf175,0.02,10.12,1.84E-01,6.09E-01,0.03,6.75,1.08E-01,7.43E-01,3.37,0.03,9.77E-02,3.38E-01,1,1,2,1,0
CHKA,0.03,7.55,8.57E-02,4.79E-01,0.02,7.07,2.31E-01,8.49E-01,0.48,0.03,8.58E-02,3.23E-01,1,0,1,1,0
GADL1,0.02,-4.88,2.29E-01,6.52E-01,0.03,11.61,8.69E-02,7.16E-01,7.52,0.03,8.69E-02,3.25E-01,0,1,1,0,0
ZNF91,0.03,1.52,8.27E-02,4.73E-01,0.02,0.98,2.40E-01,8.55E-01,0.54,0.03,8.27E-02,3.18E-01,1,0,1,1,0
CEMP1,0.04,8.48,7.28E-02,4.53E-01,0.02,-4.07,2.72E-01,8.70E-01,11.45,0.03,7.28E-02,3.03E-01,1,0,1,0,0
BBS1,0.04,9.72,5.33E-02,4.16E-01,0.01,9.95,3.73E-01,9.10E-01,0.24,0.03,5.33E-02,2.71E-01,1,0,1,1,0
C1orf85,0.01,0.80,5.17E-01,8.32E-01,0.04,8.18,3.83E-02,5.98E-01,7.38,0.03,3.83E-02,2.42E-01,0,1,1,0,0
GCFC1,0.05,3.85,3.42E-02,3.62E-01,0.01,1.85,5.80E-01,9.59E-01,2.00,0.03,3.42E-02,2.32E-01,1,0,1,1,0
PRPH,0.05,13.68,3.32E-02,3.59E-01,0.01,-6.19,5.96E-01,9.61E-01,4.12,0.03,3.32E-02,2.29E-01,1,0,1,0,0
APBA3,0.05,14.90,3.47E-02,3.63E-01,0.01,8.11,5.73E-01,9.57E-01,6.79,0.03,3.47E-02,2.33E-01,1,0,1,0,0
TOR1B,0.01,7.30,6.61E-01,8.90E-01,0.05,15.04,3.00E-02,5.64E-01,7.73,0.03,3.00E-02,2.20E-01,0,1,1,0,0
KRTAP10-9,0.05,12.42,2.81E-02,3.45E-01,0.00,9.84,7.04E-01,9.75E-01,2.58,0.03,2.81E-02,2.15E-01,1,0,1,0,0
PRSS54,0.03,13.16,1.02E-01,5.08E-01,0.02,12.01,1.94E-01,8.30E-01,1.14,0.03,9.78E-02,3.38E-01,1,1,2,0,0
ZNF443,0.03,-0.69,1.49E-01,5.70E-01,0.03,-0.88,1.34E-01,7.78E-01,0.19,0.03,9.81E-02,3.38E-01,1,1,2,0,0
C21orf67,0.03,14.20,8.40E-02,4.75E-01,0.02,9.67,2.37E-01,8.51E-01,4.52,0.03,8.40E-02,3.20E-01,1,0,1,0,0
PSME1,0.04,-1.87,7.53E-02,4.59E-01,0.02,-2.61,2.65E-01,8.67E-01,0.74,0.03,7.53E-02,3.07E-01,1,0,1,0,0
MAGEA9,0.04,11.09,6.50E-02,4.38E-01,0.02,10.54,3.06E-01,8.87E-01,0.55,0.03,6.50E-02,2.91E-01,1,0,1,0,0
C9orf70,0.04,11.05,4.26E-02,3.89E-01,0.01,14.04,4.68E-01,9.38E-01,2.99,0.03,4.26E-02,2.52E-01,1,0,1,0,0
SAG,0.04,15.57,4.24E-02,3.88E-01,0.01,10.95,4.71E-01,9.38E-01,4.62,0.03,4.24E-02,2.51E-01,1,0,1,0,0
PLEKHG7,0.05,15.85,3.12E-02,3.52E-01,0.01,15.43,6.39E-01,9.70E-01,0.42,0.03,3.12E-02,2.24E-01,1,0,1,0,0
SNX33,0.00,13.32,7.17E-01,9.11E-01,0.05,14.18,2.78E-02,5.53E-01,0.86,0.03,2.78E-02,2.14E-01,0,1,1,0,0
OR8A1,0.05,-6.12,2.71E-02,3.40E-01,0.00,4.22,7.36E-01,9.78E-01,10.34,0.03,2.71E-02,2.12E-01,1,0,1,0,0
DNAI1,0.00,-6.28,8.91E-01,9.68E-01,0.05,2.61,2.24E-02,5.13E-01,8.89,0.03,2.24E-02,1.95E-01,0,1,1,0,0
APOA1,0.05,13.61,2.10E-02,3.08E-01,0.00,1.36,9.48E-01,9.98E-01,11.75,0.03,2.10E-02,1.91E-01,1,0,1,0,0
SMARCB1,0.03,-0.36,1.11E-01,5.21E-01,0.02,14.47,1.81E-01,8.22E-01,9.17,0.03,9.82E-02,3.38E-01,1,1,2,0,0
RIN1,0.04,9.92,5.30E-02,4.15E-01,0.01,8.30,3.77E-01,9.12E-01,1.62,0.03,5.30E-02,2.70E-01,1,0,1,0,0
ARID2,0.05,0.74,2.59E-02,3.34E-01,0.00,-3.90,7.72E-01,9.83E-01,4.64,0.03,2.59E-02,2.08E-01,1,0,1,0,0
HMCN1,0.05,15.38,2.78E-02,3.43E-01,0.00,3.67,7.19E-01,9.77E-01,11.71,0.03,2.78E-02,2.14E-01,1,0,1,0,0
GNB2,0.03,-5.93,1.40E-01,5.58E-01,0.03,14.17,1.43E-01,7.87E-01,3.90,0.03,9.84E-02,3.38E-01,1,1,2,0,0
TRANK1,0.03,3.38,1.60E-01,5.84E-01,0.03,1.83,1.25E-01,7.64E-01,1.55,0.03,9.85E-02,3.38E-01,1,1,2,1,0
CD9,0.02,-2.71,2.13E-01,6.36E-01,0.03,-6.03,9.42E-02,7.24E-01,3.32,0.03,9.42E-02,3.34E-01,0,1,1,1,0
ACSL5,0.02,-1.96,3.25E-01,7.27E-01,0.04,-1.13,6.17E-02,6.66E-01,0.83,0.03,6.17E-02,2.85E-01,0,1,1,0,0
NAP1L1,0.01,6.79,3.46E-01,7.41E-01,0.04,1.22,5.80E-02,6.53E-01,5.57,0.03,5.80E-02,2.79E-01,0,1,1,0,0
CLGN,0.00,3.10,7.05E-01,9.08E-01,0.05,3.80,2.84E-02,5.55E-01,0.70,0.03,2.85E-02,2.16E-01,0,1,1,1,0
C21orf2,0.00,8.09,7.81E-01,9.35E-01,0.05,12.63,2.57E-02,5.36E-01,4.54,0.03,2.57E-02,2.08E-01,0,1,1,0,0
DZIP1L,0.05,10.97,2.21E-02,3.15E-01,0.00,-2.80,9.05E-01,9.95E-01,10.23,0.03,2.21E-02,1.94E-01,1,0,1,0,0
UBR2,0.05,3.05,2.07E-02,3.08E-01,0.00,-2.26,9.67E-01,9.98E-01,5.31,0.03,2.08E-02,1.91E-01,1,0,1,0,0
CXorf18,0.03,12.33,1.47E-01,5.68E-01,0.03,9.75,1.37E-01,7.80E-01,2.57,0.03,9.87E-02,3.38E-01,1,1,2,0,0
SEMA6A,0.03,0.11,1.21E-01,5.34E-01,0.02,-2.45,1.66E-01,8.09E-01,2.56,0.03,9.87E-02,3.38E-01,1,1,2,1,0
KCNB2,0.02,11.15,1.79E-01,6.03E-01,0.03,11.35,1.13E-01,7.50E-01,0.20,0.03,9.88E-02,3.38E-01,1,1,2,0,0
CYP17A1,0.03,14.73,1.32E-01,5.48E-01,0.03,10.13,1.52E-01,7.98E-01,4.59,0.03,9.88E-02,3.38E-01,1,1,2,0,0
ITGA6,0.03,-2.65,1.61E-01,5.85E-01,0.03,-4.15,1.25E-01,7.64E-01,1.50,0.03,9.88E-02,3.38E-01,1,1,2,0,0
TXNL4B,0.02,15.92,2.03E-01,6.28E-01,0.03,16.36,9.91E-02,7.32E-01,0.45,0.03,9.88E-02,3.38E-01,1,1,2,0,0
ME2,0.03,5.60,9.51E-02,4.97E-01,0.02,0.71,2.12E-01,8.36E-01,4.89,0.03,9.51E-02,3.35E-01,1,0,1,0,0
CMPK2,0.02,10.28,2.24E-01,6.48E-01,0.03,0.38,9.00E-02,7.18E-01,9.90,0.03,9.00E-02,3.29E-01,0,1,1,0,0
TAL2,0.01,16.07,3.98E-01,7.73E-01,0.04,-0.49,5.06E-02,6.31E-01,7.44,0.03,5.06E-02,2.66E-01,0,1,1,0,0
LSM6,0.01,-1.68,4.16E-01,7.82E-01,0.04,-5.96,4.84E-02,6.21E-01,4.28,0.03,4.84E-02,2.62E-01,0,1,1,0,0
GSG1,0.04,13.06,4.47E-02,3.94E-01,0.01,17.21,4.50E-01,9.31E-01,4.15,0.03,4.47E-02,2.55E-01,1,0,1,1,0
OR2K2,0.04,17.38,3.91E-02,3.76E-01,0.01,10.23,5.15E-01,9.46E-01,7.15,0.03,3.91E-02,2.44E-01,1,0,1,0,0
GATA5,0.03,12.16,1.25E-01,5.39E-01,0.03,11.74,1.62E-01,8.06E-01,0.42,0.03,9.91E-02,3.39E-01,1,1,2,0,0
GZMK,0.02,-5.27,1.78E-01,6.02E-01,0.03,14.14,1.14E-01,7.52E-01,4.59,0.03,9.91E-02,3.39E-01,1,1,2,0,0
SLC34A2,0.03,14.09,1.11E-01,5.22E-01,0.02,9.51,1.81E-01,8.23E-01,4.58,0.03,9.91E-02,3.39E-01,1,1,2,0,0
CPEB1,0.03,4.39,9.34E-02,4.94E-01,0.02,11.04,2.16E-01,8.41E-01,6.65,0.03,9.34E-02,3.34E-01,1,0,1,1,0
DCUN1D3,0.04,14.23,4.37E-02,3.93E-01,0.01,10.60,4.62E-01,9.37E-01,3.63,0.03,4.37E-02,2.54E-01,1,0,1,0,0
PRY,0.04,-4.52,4.26E-02,3.89E-01,0.01,12.87,4.75E-01,9.39E-01,6.61,0.03,4.26E-02,2.52E-01,1,0,1,0,0
SERPINB10,0.05,-5.87,3.32E-02,3.59E-01,0.01,5.30,6.10E-01,9.63E-01,11.17,0.03,3.32E-02,2.28E-01,1,0,1,0,0
PLEKHG4,0.05,14.45,2.55E-02,3.32E-01,0.00,12.81,7.93E-01,9.84E-01,1.64,0.03,2.55E-02,2.07E-01,1,0,1,0,0
ZNF22,0.05,0.24,2.06E-02,3.08E-01,0.00,14.44,9.83E-01,9.99E-01,9.80,0.03,2.06E-02,1.90E-01,1,0,1,0,0
PADI4,0.05,17.14,2.02E-02,3.06E-01,0.00,15.86,9.99E-01,1.00E+00,1.28,0.03,2.02E-02,1.89E-01,1,0,1,0,0
UHRF1BP1L,0.04,2.34,5.36E-02,4.16E-01,0.01,-0.44,3.78E-01,9.13E-01,2.78,0.03,5.36E-02,2.71E-01,1,0,1,0,0
MRE11A,0.03,1.02,1.62E-01,5.85E-01,0.03,-1.91,1.25E-01,7.64E-01,2.93,0.03,9.93E-02,3.39E-01,1,1,2,0,0
TSPAN16,0.02,-3.50,1.64E-01,5.89E-01,0.03,-3.91,1.23E-01,7.61E-01,0.41,0.03,9.93E-02,3.39E-01,1,1,2,0,0
AIDA,0.02,-2.61,3.00E-01,7.08E-01,0.04,2.47,6.75E-02,6.82E-01,5.08,0.03,6.75E-02,2.96E-01,0,1,1,0,0
CD1D,0.03,13.08,1.37E-01,5.54E-01,0.03,15.15,1.48E-01,7.93E-01,2.07,0.03,9.95E-02,3.39E-01,1,1,2,0,0
C3orf77,0.04,10.27,4.20E-02,3.86E-01,0.01,8.02,4.84E-01,9.40E-01,2.25,0.03,4.20E-02,2.51E-01,1,0,1,0,0
SNX20,0.02,13.97,2.35E-01,6.55E-01,0.03,7.26,8.65E-02,7.16E-01,6.72,0.03,8.65E-02,3.25E-01,0,1,1,0,0
CEBPA,0.03,14.50,1.18E-01,5.30E-01,0.02,9.59,1.74E-01,8.17E-01,4.91,0.03,9.98E-02,3.40E-01,1,1,2,0,0
C14orf109,0.03,9.23,8.94E-02,4.87E-01,0.02,13.17,2.28E-01,8.48E-01,3.93,0.03,8.95E-02,3.28E-01,1,0,1,0,0
RASSF3,0.03,0.96,8.41E-02,4.75E-01,0.02,6.63,2.43E-01,8.56E-01,5.67,0.03,8.41E-02,3.20E-01,1,0,1,0,0
CNOT6L,0.04,2.02,6.63E-02,4.42E-01,0.02,-0.99,3.07E-01,8.87E-01,3.01,0.03,6.63E-02,2.94E-01,1,0,1,1,0
GLO1,0.04,2.13,5.44E-02,4.19E-01,0.01,-0.22,3.74E-01,9.10E-01,2.35,0.03,5.44E-02,2.73E-01,1,0,1,0,0
CLDN17,0.04,17.45,5.11E-02,4.11E-01,0.01,12.46,3.99E-01,9.17E-01,4.99,0.03,5.11E-02,2.67E-01,1,0,1,0,0
OSBPL3,0.04,5.45,4.70E-02,4.01E-01,0.01,14.72,4.34E-01,9.28E-01,9.27,0.03,4.70E-02,2.60E-01,1,0,1,1,0
RNASE7,0.04,14.59,4.45E-02,3.93E-01,0.01,0.77,4.58E-01,9.34E-01,10.17,0.03,4.45E-02,2.55E-01,1,0,1,0,0
MIR320A,0.05,14.49,3.18E-02,3.55E-01,0.01,2.34,6.41E-01,9.70E-01,11.85,0.03,3.18E-02,2.25E-01,1,0,1,0,0
NCRNA00095,0.03,-5.87,8.78E-02,4.85E-01,0.02,8.21,2.33E-01,8.49E-01,9.92,0.03,8.78E-02,3.26E-01,1,0,1,0,0
DNAI2,0.03,14.15,1.03E-01,5.09E-01,0.02,7.77,1.98E-01,8.31E-01,6.38,0.03,1.00E-01,3.40E-01,1,1,2,0,0
IRF4,0.04,14.29,6.20E-02,4.33E-01,0.02,9.25,3.30E-01,8.99E-01,5.04,0.03,6.20E-02,2.86E-01,1,0,1,0,0
CLIP1,0.00,-3.46,9.96E-01,9.99E-01,0.05,-2.74,2.05E-02,5.04E-01,0.72,0.03,2.05E-02,1.90E-01,0,1,1,0,0
PTPN21,0.02,4.99,2.81E-01,6.91E-01,0.04,2.55,7.29E-02,6.89E-01,2.44,0.03,7.29E-02,3.03E-01,0,1,1,1,0
TRAF3IP3,0.01,-6.06,3.90E-01,7.69E-01,0.04,1.26,5.25E-02,6.38E-01,7.32,0.03,5.25E-02,2.70E-01,0,1,1,0,0
TTC13,0.03,5.28,1.08E-01,5.15E-01,0.02,7.23,1.90E-01,8.28E-01,1.95,0.03,1.00E-01,3.40E-01,1,1,2,0,0
LOC339803,0.04,0.21,5.28E-02,4.15E-01,0.01,0.64,3.89E-01,9.15E-01,0.43,0.03,5.28E-02,2.70E-01,1,0,1,0,0
ASMT,0.04,13.25,3.95E-02,3.78E-01,0.01,3.52,5.20E-01,9.47E-01,9.73,0.03,3.95E-02,2.45E-01,1,0,1,0,0
ZNF576,0.01,11.12,6.41E-01,8.84E-01,0.05,5.25,3.20E-02,5.73E-01,5.88,0.03,3.20E-02,2.26E-01,0,1,1,0,0
C9orf106,0.02,14.12,2.05E-01,6.30E-01,0.03,8.78,1.01E-01,7.34E-01,5.34,0.03,1.00E-01,3.40E-01,1,1,2,0,0
BAIAP2L2,0.02,9.08,3.03E-01,7.10E-01,0.04,5.79,6.79E-02,6.82E-01,3.29,0.03,6.79E-02,2.96E-01,0,1,1,0,0
BOLA2,0.01,3.00,4.14E-01,7.81E-01,0.04,2.05,4.97E-02,6.26E-01,0.96,0.03,4.97E-02,2.64E-01,0,1,1,0,0
F2,0.05,16.52,3.59E-02,3.67E-01,0.01,2.63,5.73E-01,9.57E-01,10.10,0.03,3.59E-02,2.36E-01,1,0,1,0,0
C7orf45,0.05,14.48,2.40E-02,3.26E-01,0.00,2.91,8.57E-01,9.91E-01,11.57,0.03,2.40E-02,2.02E-01,1,0,1,0,0
FUCA1,0.02,5.40,1.74E-01,5.99E-01,0.03,-0.13,1.18E-01,7.55E-01,5.53,0.03,1.01E-01,3.40E-01,1,1,2,0,0
LOC100287290,0.03,2.85,8.29E-02,4.74E-01,0.02,3.23,2.49E-01,8.60E-01,0.39,0.03,8.29E-02,3.19E-01,1,0,1,0,0
DPEP3,0.05,14.42,2.76E-02,3.42E-01,0.00,4.69,7.48E-01,9.82E-01,9.73,0.03,2.76E-02,2.14E-01,1,0,1,0,0
SIRPD,0.05,16.41,2.49E-02,3.30E-01,0.00,12.98,8.28E-01,9.87E-01,3.43,0.03,2.49E-02,2.06E-01,1,0,1,0,0
LYRM1,0.01,1.96,5.60E-01,8.50E-01,0.05,1.35,3.69E-02,5.92E-01,0.60,0.03,3.69E-02,2.38E-01,0,1,1,1,0
CYB561D2,0.00,10.23,7.37E-01,9.20E-01,0.05,16.86,2.81E-02,5.55E-01,6.63,0.03,2.81E-02,2.15E-01,0,1,1,1,0
SH3PXD2B,0.03,-5.71,8.78E-02,4.85E-01,0.02,-4.02,2.36E-01,8.50E-01,1.68,0.03,8.79E-02,3.26E-01,1,0,1,0,0
MEF2B,0.03,13.31,9.31E-02,4.94E-01,0.02,4.99,2.22E-01,8.45E-01,8.31,0.03,9.32E-02,3.33E-01,1,0,1,0,0
