Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
CCDC142,0.01,7.77,3.92E-01,7.70E-01,0.01,9.43,4.88E-01,9.41E-01,1.66,0.01,3.95E-01,5.75E-01,1,0,1,0,0
DENND5B,0.01,1.18,5.90E-01,8.62E-01,0.02,-1.43,3.25E-01,8.95E-01,2.61,0.01,3.25E-01,5.31E-01,0,1,1,0,0
KRTAP8-1,0.02,16.81,3.30E-01,7.30E-01,0.01,-0.12,5.81E-01,9.59E-01,7.07,0.01,3.30E-01,5.34E-01,1,0,1,0,0
KBTBD12,0.01,-5.11,5.28E-01,8.37E-01,0.01,2.64,3.63E-01,9.10E-01,7.75,0.01,3.64E-01,5.55E-01,0,1,1,0,0
CCNE2,0.01,16.03,4.07E-01,7.78E-01,0.01,17.37,4.71E-01,9.38E-01,1.33,0.01,4.10E-01,5.86E-01,1,0,1,1,0
FAM153B,0.02,6.09,3.29E-01,7.29E-01,0.01,7.16,5.83E-01,9.59E-01,1.07,0.01,3.29E-01,5.34E-01,1,0,1,0,0
PRG2,0.02,11.82,3.20E-01,7.23E-01,0.01,13.00,5.99E-01,9.62E-01,1.18,0.01,3.20E-01,5.27E-01,1,0,1,0,0
SF3A2,0.01,5.55,6.90E-01,9.02E-01,0.02,8.32,2.78E-01,8.74E-01,2.77,0.01,2.78E-01,4.96E-01,0,1,1,0,0
VLDLR,0.02,-0.37,2.89E-01,6.99E-01,0.01,-3.68,6.63E-01,9.73E-01,3.31,0.01,2.89E-01,5.04E-01,1,0,1,1,0
LRRC37BP1,0.00,3.87,7.66E-01,9.30E-01,0.02,-1.04,2.50E-01,8.61E-01,4.91,0.01,2.50E-01,4.78E-01,0,1,1,0,0
FCGR2B,0.00,-2.38,8.57E-01,9.58E-01,0.02,-6.43,2.24E-01,8.47E-01,4.06,0.01,2.24E-01,4.58E-01,0,1,1,0,0
ACOT2,0.02,-3.15,2.03E-01,6.28E-01,0.00,4.34,9.44E-01,9.98E-01,7.50,0.01,2.03E-01,4.41E-01,1,0,1,0,0
OR4M2,0.01,14.35,3.75E-01,7.58E-01,0.01,10.76,5.12E-01,9.46E-01,3.60,0.01,3.76E-01,5.63E-01,1,0,1,0,0
TMEM165,0.01,3.68,4.38E-01,7.92E-01,0.01,0.15,4.39E-01,9.29E-01,3.53,0.01,4.42E-01,6.05E-01,1,0,1,1,0
CST11,0.01,-2.56,5.97E-01,8.66E-01,0.02,5.40,3.22E-01,8.93E-01,7.96,0.01,3.22E-01,5.28E-01,0,1,1,0,0
TRIM15,0.02,13.79,3.01E-01,7.09E-01,0.01,10.59,6.37E-01,9.69E-01,3.20,0.01,3.01E-01,5.14E-01,1,0,1,0,0
