,full_df_name,model,best_parameters,MSE,MAE,MAPE,RMSE,SMAPE
1090,BA11 Overall_80:20_Log_KPCA_95,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 3000, 'loss': 'squared_loss', 'learning_rate': 'optimal', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 1}",0.4536016248836412,0.3700147952491173,0.5578486302043144,0.6734995359193956,17.73192517216696
1091,BA11 Overall_80:20_Log_KPCA_90,Voting Regressor,"{'rf__n_estimators': 10, 'gb__n_estimators': 100}",0.420660244915154,0.3111847505029525,0.538203203279479,0.6485832598172373,15.57826377425705
1092,BA11 Overall_80:20_Log_KPCA_95,Voting Regressor,"{'rf__n_estimators': 10, 'gb__n_estimators': 100}",0.4206972347855329,0.3110574518579656,0.5381672051052651,0.6486117750901018,15.57378896525269
1093,BA11 Overall_80:20_Log_KPCA_90,Stacking Regressor,{'final_estimator': RandomForestRegressor(random_state=42)},0.4359155215772827,0.3152678952248247,0.5514465569332417,0.6602389882287192,15.60634715703662
1094,BA11 Overall_80:20_Log_KPCA_95,Stacking Regressor,{'final_estimator': RandomForestRegressor(random_state=42)},0.4400812839152489,0.3149284492549455,0.5524853606440058,0.6633862252980905,15.56339584947745
1095,BA11 Overall_80:20_Log_KPCA_90,Gradient Boosting Regressor,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 30, 'learning_rate': 0.5}",0.4528492325343773,0.3646355117719102,0.5503255581098153,0.6729407347860413,17.53853643677178
1096,BA11 Overall_80:20_Log_KPCA_95,Gradient Boosting Regressor,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 30, 'learning_rate': 0.5}",0.453591512389949,0.3660007422212889,0.5508160204131753,0.6734920284531577,17.5907060411708
1097,BA11 Overall_80:20_Log_KPCA_90,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.4195777469808678,0.3148959223828273,0.5347206368559021,0.6477482126419708,15.75570178398356
1098,BA11 Overall_80:20_Log_KPCA_95,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.4193707108033874,0.3144296302875456,0.5345673480193033,0.6475883806889894,15.73890505521879
1099,BA11 Overall_80:20_Log_KPCA_90,BaggingRegressor,"{'n_estimators': 30, 'max_samples': 0.9, 'max_features': 0.7000000000000001}",0.4497130735277861,0.3616332913924248,0.5556945010310389,0.6706064967831629,17.44210837280441
1100,BA11 Overall_80:20_Log_KPCA_95,BaggingRegressor,"{'n_estimators': 30, 'max_samples': 0.9, 'max_features': 0.7000000000000001}",0.4528189680087937,0.3610082789336704,0.5563518195104982,0.6729182476414157,17.41658713261979
